Rank,Year,Genre,Device,FIFA,Mario,Call of Duty,Grand Theft Auto,Pokemon,Halo,Wii,NBA,NA_Sales As a percentage of Total,EU_Sales As a percentage of Total,JP_Sales As a percentage of Total,Other_Sales As a percentage of Total
9603,2005.0,Racing,Console,0,0,0,0,0,0,0,0,46.15,38.46,0.0,15.38
5025,2010.0,Sports,Console,0,0,0,0,0,0,0,0,50.0,39.47,0.0,13.16
9418,2006.0,Action,Portable,0,0,0,0,0,0,0,0,0.0,0.0,100.0,0.0
9688,2006.0,Simulation,Portable,0,0,0,0,0,0,0,0,0.0,0.0,100.0,0.0
5615,2014.0,Action,Console,0,0,0,0,0,0,0,0,28.12,50.0,6.25,15.62
12388,2007.0,Shooter,Console,0,0,0,0,0,0,0,0,100.0,0.0,0.0,0.0
11922,2005.0,Misc,Console,0,0,0,0,0,0,0,0,71.43,14.29,0.0,0.0
4710,2010.0,Fighting,Console,0,0,0,0,0,0,0,0,51.22,19.51,21.95,9.76
2605,2003.0,Role-Playing,Console,0,0,0,0,0,0,0,0,77.22,20.25,0.0,2.53
3506,2013.0,Role-Playing,Portable,0,0,0,0,0,0,0,0,49.12,0.0,47.37,3.51
2479,2007.0,Action,Console,0,0,0,0,0,0,0,0,10.71,0.0,0.0,88.1
12837,2016.0,Action,Console,0,0,0,0,0,0,0,0,0.0,0.0,100.0,0.0
21,2006.0,Role-Playing,Portable,0,0,0,0,1,0,0,0,34.97,24.62,32.9,7.46
1000,2007.0,Action,Portable,0,0,0,0,0,0,0,0,71.59,26.7,0.0,1.7
15431,2008.0,Role-Playing,Console,0,0,0,0,0,0,0,0,0.0,0.0,100.0,0.0
13590,2013.0,Simulation,Console,0,0,0,0,0,0,0,0,0.0,0.0,100.0,0.0
13177,2007.0,Sports,Console,0,0,0,0,0,0,0,0,60.0,40.0,0.0,0.0
8539,2005.0,Misc,Console,0,0,0,0,0,0,0,0,50.0,37.5,0.0,12.5
6287,2009.0,Misc,Console,0,0,0,0,0,0,0,0,33.33,3.7,0.0,62.96
15993,2009.0,Fighting,Portable,0,0,0,0,0,0,0,0,0.0,0.0,100.0,0.0
4974,2009.0,Misc,Console,0,0,0,0,0,0,0,0,0.0,92.31,0.0,5.13
8337,2010.0,Racing,Console,0,0,0,0,0,0,0,0,41.18,52.94,0.0,11.76
9992,2002.0,Racing,Console,0,0,0,0,0,0,0,0,41.67,33.33,16.67,8.33
2135,2003.0,Strategy,Portable,0,0,0,0,0,0,0,0,50.52,18.56,29.9,1.03
7128,2002.0,Sports,Console,0,0,0,0,0,0,0,0,47.83,39.13,0.0,13.04
278,1984.0,Racing,Console,0,0,0,0,0,0,0,0,49.04,11.54,37.74,1.68
3949,2004.0,Action,Portable,0,0,0,0,0,0,0,0,72.0,26.0,0.0,2.0
14717,2009.0,Simulation,Portable,0,0,0,0,0,0,0,0,100.0,0.0,0.0,0.0
5145,2006.0,Sports,Console,1,0,0,0,0,0,0,0,45.95,35.14,5.41,10.81
5525,2013.0,Racing,Console,0,0,0,0,0,0,0,0,3.03,84.85,0.0,9.09
1974,1996.0,Role-Playing,Console,0,0,0,0,0,0,0,0,0.0,0.0,87.62,12.38
